term_id,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,term_str
15034.0,-0.30040278175877455,0.462467301707752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,strides
8874.0,-0.20953602610261945,0.32257877252301326,8.094794905562845e-06,-9.228648621004756e-07,2.1573005787494976e-05,-2.576714279938914e-07,3.369861124701327e-07,-4.883928594163722e-06,-2.8053286950415405e-05,2.1455763995426497e-05,supplies
11320.0,-0.18074370618385416,-0.3759928844401723,6.772424420965844e-06,4.7652071483431335e-07,1.0709875755732196e-05,-1.3422783754052272e-05,1.5784429694698885e-06,-7.833557780417389e-06,3.27344538021897e-06,2.608472516123657e-06,shuffled
5694.0,-0.17701703182955028,-0.3682404538331606,-2.6022767902388903e-06,-1.0315589476345645e-06,9.775517145142422e-06,2.6303636001475682e-05,-1.0357665560294614e-05,-2.4804409762673935e-08,2.93101473964804e-06,-6.680927856252883e-06,soften
9006.0,-0.14714989535361975,0.2265359017394622,4.54892734385354e-06,1.419430747138483e-06,-3.2677768682111135e-06,-1.9498289969097406e-06,1.2981091215731174e-05,-3.0617956289721565e-06,-1.4074702206767583e-05,-7.355038833990172e-06,infectious
12259.0,-0.14244226608979266,0.026189443773668577,5.360740994297296e-06,4.289572682064428e-06,-7.888377650807788e-06,-2.1135828385090145e-05,6.697727107090524e-06,-1.1153307001448843e-05,4.569018565406921e-06,-6.58383961549411e-07,avoiding
380.0,0.48107993290155987,0.03210712261894798,4.779398206494422e-06,5.708294702464479e-06,3.9720236303374064e-05,-1.8520420883589633e-05,1.0865712590238744e-05,5.9268457358481215e-06,-8.981916563336219e-06,2.3262386643658545e-05,fine
9351.0,0.4168135296513504,0.027818003185117676,-2.463752852809624e-05,-7.071015195200602e-06,-1.4369374848728782e-05,2.506730552030839e-05,-8.220169048689949e-06,3.187441830997374e-05,3.039943331028245e-05,2.337350485657697e-06,tense
16108.0,-0.09715972423727252,-0.20211694082572004,-1.3237704820564685e-05,-4.1039337418258886e-06,1.9372895439770363e-06,1.8870877265284952e-05,-9.736329792264298e-06,-2.0256441045522427e-05,-3.192580520582438e-05,1.903895632297133e-05,wiout
2457.0,-0.08917399347804436,-0.18550458952497575,-2.3292014548023207e-05,-3.8692390268955544e-06,-2.918791127344265e-05,-4.342101006516675e-06,-9.360767056309102e-06,1.7451457798589062e-05,5.539599772685226e-05,-4.892898878229944e-05,outward
2375.0,-0.08385017297189268,-0.174429688657813,2.313603686925555e-05,2.0858388010404653e-07,-7.050926823584153e-06,1.3435183385329599e-05,-1.1757833673114716e-05,-5.3273281950283667e-05,2.1294827401216158e-05,3.053276202963546e-05,blank
5681.0,-0.07201174084301334,0.012355971139711989,-2.1579511711922636e-05,-2.244298715996777e-07,-7.702605106125754e-06,-2.11193449035727e-05,2.9794277066927784e-05,-2.7509550296716958e-05,-5.4237735699573815e-05,-7.314885135832359e-06,memorable
8045.0,-0.06947585760528238,-0.1445274563164736,-1.6505977477820404e-06,4.487920905380271e-06,1.5895829141587233e-05,1.1013019164694745e-05,-1.92604916595492e-05,9.819504077609744e-05,1.2567910430970536e-05,-7.955450940826947e-06,fanatical
15164.0,0.22890974630027855,0.017689314409494672,-3.1300896465655895e-05,5.45661257560031e-06,1.4723473429062747e-05,1.879749598311484e-05,-3.0361277012131173e-05,-1.94909231282657e-05,1.548082116245188e-05,2.275495417264871e-06,visitants
