term_id,term_rank,term_str,n,num,stop,stem_porter,stem_snowball,stem_lancaster,pos_max,term_rank2
21235,123,without,515,0,0,without,without,without,IN,118
8915,124,here,511,0,1,here,here,her,RB,119
7397,125,first,509,0,0,first,first,first,JJ,120
2751,126,casaubon,505,0,0,casaubon,casaubon,casaubon,NNP,121
11234,127,love,501,0,0,love,love,lov,NN,122
5728,128,down,500,0,1,down,down,down,RP,123
11407,129,make,497,0,0,make,make,mak,VB,124
21469,130,young,489,0,0,young,young,young,JJ,125
4645,131,day,485,0,0,day,day,day,NN,126
7244,132,felt,484,0,0,felt,felt,felt,VBD,127
8421,133,great,484,0,0,great,great,gre,JJ,127
17942,134,still,484,0,0,still,still,stil,RB,127
11192,135,looked,475,0,0,look,look,look,VBD,128
20298,136,upon,471,0,0,upon,upon,upon,IN,129
21451,137,yet,470,0,0,yet,yet,yet,RB,130
7800,138,fred,470,0,0,fred,fred,fred,NNP,130
21035,139,where,466,0,1,where,where,wher,WRB,131
677,140,always,461,0,0,alway,alway,alway,RB,132
5681,141,dont,456,0,0,dont,dont,dont,VBP,133
18978,142,though,454,0,0,though,though,though,IN,134
2607,143,came,454,0,0,came,came,cam,VBD,134
16816,144,shall,453,0,0,shall,shall,shal,MD,135
11179,145,long,447,0,0,long,long,long,JJ,136
8938,146,herself,444,0,1,herself,herself,herself,PRP,137
15034,147,rachel,443,0,0,rachel,rachel,rachel,NNP,138
6658,148,every,442,0,0,everi,everi,every,DT,139
19029,149,through,438,0,1,through,through,through,IN,140
11636,150,may,437,0,0,may,may,may,MD,141
18975,151,those,435,0,1,those,those,thos,DT,142
11748,152,men,432,0,0,men,men,men,NNS,143
8636,153,hand,422,0,0,hand,hand,hand,NN,144
1414,154,away,417,0,0,away,away,away,RB,145
5950,155,each,415,0,1,each,each,each,DT,146
21001,156,went,401,0,0,went,went,went,VBD,147
21317,157,world,401,0,0,world,world,world,NN,147
10773,158,last,396,0,0,last,last,last,JJ,148
11191,159,look,393,0,0,look,look,look,VB,149
11494,160,many,388,0,0,mani,mani,many,JJ,150
6653,161,ever,381,0,0,ever,ever,ev,RB,151
8815,162,heart,379,0,0,heart,heart,heart,NN,152
12187,163,most,379,0,1,most,most,most,RBS,152
1449,164,back,378,0,0,back,back,back,RB,153
18627,165,take,376,0,0,take,take,tak,VB,154
19619,166,two,367,0,0,two,two,two,CD,155
16108,167,rosamond,365,0,0,rosamond,rosamond,rosamond,NNP,156
19801,168,under,361,0,1,under,under,und,IN,157
15138,169,rather,360,0,0,rather,rather,rath,RB,158
1877,170,better,359,0,0,better,better,bet,JJR,159
19256,171,towards,358,0,0,toward,toward,toward,NNS,160
12655,172,nothing,356,0,0,noth,noth,noth,NN,161
12530,173,new,354,0,0,new,new,new,JJ,162
17468,174,something,353,0,0,someth,someth,someth,NN,163
15164,175,raymond,346,0,0,raymond,raymond,raymond,NNP,164
11194,176,looking,345,0,0,look,look,look,VBG,165
8301,177,going,339,0,0,go,go,going,VBG,166
